icao24,callsign,dep_airport,arr_airport,firstseen,lastseen,day,event_ts,flight_duration_sec,dep_horiz_m,dep_vert_m,arr_horiz_m,arr_vert_m,dep_cand,arr_cand
000184,UAL4265,LFPG,OMDB,1698820754,1698846701,1698793200,2023-11-01 07:39:14,25947,33767,1984,4705,5252,4,2
000322,QTR3099,LOWW,KDEN,1696785314,1696823477,1696719600,2023-10-08 19:15:14,38163,20822,1441,44017,5566,2,1
0003d0,AFR6038,LEMD,LPPT,1698806543,1698849635,1698793200,2023-11-01 03:42:23,43092,19505,5581,5638,5342,1,4
000968,BAW2610,EKCH,LEBL,1687228829,1687244149,1687215600,2023-06-20 04:40:29,15320,41459,4075,17828,7935,2,1
000b5c,SIA3754,VHHH,LSZH,1676787827,1676807893,1676761200,2023-02-19 07:23:47,20066,37845,8400,17540,222,1,3
000c63,ACA2629,LEMD,EGLL,1693383539,1693385672,1693350000,2023-08-30 10:18:59,2133,46174,3350,13027,3612,1,3
000ce2,AFR1357,KDEN,KORD,1680255950,1680262451,1680217200,2023-03-31 11:45:50,6501,19531,1903,48083,1532,2,2
000df5,RYR8619,EHAM,ENGM,1701708974,1701733327,1701644400,2023-12-04 17:56:14,24353,46323,4648,43233,214,5,1
000f09,ACA756,ENGM,LOWW,1682171936,1682177250,1682118000,2023-04-22 15:58:56,5314,23692,4189,44013,3190,5,1
000fc6,QFA4584,LEMD,KJFK,1698981290,1699012480,1698966000,2023-11-03 04:14:50,31190,13710,8170,14569,5613,1,1
00110d,UAL9690,EKCH,YSSY,1698581984,1698625096,1698534000,2023-10-29 13:19:44,43112,33316,7533,13870,2681,4,1
00113f,EZY5350,KDFW,WSSS,1700925614,1700958057,1700866800,2023-11-25 16:20:14,32443,21276,2669,15847,6484,4,5
001238,AAL7211,KATL,EDDM,1695184994,1695214975,1695164400,2023-09-20 06:43:14,29981,48644,3159,40117,7565,5,2
00148a,AAL4728,RJTT,WSSS,1699718522,1699741139,1699657200,2023-11-11 17:02:02,22617,27635,8187,17546,1997,5,5
0018ad,AFR7854,RJTT,LEBL,1700912090,1700963383,1700866800,2023-11-25 12:34:50,51293,27260,6760,48054,8960,4,3
001fec,DLH2164,LFPG,VHHH,1702054322,1702093709,1701990000,2023-12-08 17:52:02,39387,25354,1106,42159,8878,3,5
00207e,AFR1679,ESSA,KLAX,1680326282,1680336387,1680303600,2023-04-01 07:18:02,10105,9519,415,31881,3055,1,2
002092,SIA9581,EPWA,EFHK,1674539057,1674581511,1674514800,2023-01-24 06:44:17,42454,33231,9737,27500,1581,5,1
0021d8,UAE2115,LFPG,OMDB,1685690606,1685693420,1685660400,2023-06-02 09:23:26,2814,44012,9052,33229,1472,3,1
0022d0,QFA2141,EPWA,LFPO,1689992486,1690017586,1689980400,2023-07-22 04:21:26,25100,30355,795,47967,8710,3,5
0022f1,SIA6592,KDFW,OTHH,1700408384,1700436099,1700348400,2023-11-19 16:39:44,27715,24814,7504,9466,9329,4,4
002355,RYR7149,LEBL,YSSY,1699004894,1699025926,1698966000,2023-11-03 10:48:14,21032,11302,7734,42273,6122,1,3
002383,AAL3258,EDDM,RJTT,1696809908,1696849079,1696806000,2023-10-09 02:05:08,39171,15506,8585,16427,6801,4,2
002611,SWA3343,LEMD,EGLL,1700529365,1700550953,1700521200,2023-11-21 02:16:05,21588,12434,827,16066,6242,1,4
0026e2,SIA1116,VHHH,KDEN,1694146223,1694162192,1694127600,2023-09-08 06:10:23,15969,15030,4789,47551,8131,2,4
00270e,UAE4484,KORD,KDEN,1697020292,1697035491,1696978800,2023-10-11 12:31:32,15199,7618,7459,28339,846,5,1
002d6c,BAW5061,EPWA,WSSS,1678714151,1678767065,1678662000,2023-03-13 14:29:11,52914,38951,7631,21850,4101,2,1
002e19,DLH4080,EDDF,ENGM,1696430996,1696435510,1696374000,2023-10-04 16:49:56,4514,36232,6624,17132,971,4,1
002f8d,RYR8964,LEMD,KLAX,1676379035,1676399450,1676329200,2023-02-14 13:50:35,20415,14342,4732,26759,3020,4,3
003170,UAE8302,EPWA,LIRF,1695023684,1695054553,1694991600,2023-09-18 09:54:44,30869,27342,4651,1221,8834,4,5
0034bf,UAE6813,EGKK,OTHH,1684809962,1684844003,1684796400,2023-05-23 04:46:02,34041,18396,8273,40626,4244,1,4
0034ea,SWA344,LFPO,OMDB,1680534215,1680554844,1680476400,2023-04-03 17:03:35,20629,36672,8050,25329,7640,2,2
0035f3,DLH4349,YSSY,KJFK,1676882798,1676893524,1676847600,2023-02-20 09:46:38,10726,30856,2226,46651,6450,5,4
0036cf,QFA7590,LIRF,LEBL,1680485897,1680500189,1680476400,2023-04-03 03:38:17,14292,19600,4116,30579,4830,5,2
003731,SIA5016,EPWA,LIRF,1685062004,1685090201,1685055600,2023-05-26 02:46:44,28197,14794,3682,8725,1999,3,2
003745,ACA7134,EPWA,EDDM,1673247041,1673277896,1673218800,2023-01-09 07:50:41,30855,25842,4934,18869,1079,1,2
00388f,DAL3244,VHHH,EKCH,1697117720,1697123033,1697065200,2023-10-12 15:35:20,5313,35984,1060,44521,5335,2,3
003b4e,AAL2711,KORD,LEMD,1699291367,1699338450,1699225200,2023-11-06 18:22:47,47083,5250,5802,28501,961,3,3
003c56,UAE7229,ESSA,LSZH,1696037825,1696074229,1696028400,2023-09-30 03:37:05,36404,23325,4478,20137,7913,1,2
003cc7,QFA342,YSSY,LIRF,1698803033,1698806945,1698793200,2023-11-01 02:43:53,3912,22862,5386,8410,4158,3,3
003cfe,DLH3928,VHHH,LEMD,1682336402,1682382996,1682290800,2023-04-24 13:40:02,46594,16429,373,43482,9687,4,1
003d40,ACA2802,KDFW,VHHH,1703825567,1703878637,1703804400,2023-12-29 05:52:47,53070,23787,1223,38501,8989,5,4
003f4e,SIA2217,LKPR,ESSA,1691992667,1692034206,1691967600,2023-08-14 07:57:47,41539,29936,9840,15809,2373,4,1
004076,QFA2830,OMDB,KDEN,1696077026,1696106367,1696028400,2023-09-30 14:30:26,29341,21326,4547,45317,1671,1,4
00417a,ACA7385,RJTT,EDDM,1693025663,1693039572,1693004400,2023-08-26 06:54:23,13909,48528,4317,39224,1314,2,4
0042ba,AAL1555,KJFK,EDDM,1690498907,1690524731,1690498800,2023-07-28 01:01:47,25824,4217,9979,4903,1952,5,1
00475a,SIA4000,ENGM,LPPT,1694840396,1694869755,1694818800,2023-09-16 06:59:56,29359,21137,3479,47457,4736,2,5
00480d,UAE7144,LHBP,RJTT,1682516657,1682555735,1682463600,2023-04-26 15:44:17,39078,33022,1786,34354,4658,2,1
004afb,AFR6872,LEMD,KLAX,1690205024,1690239970,1690153200,2023-07-24 15:23:44,34946,48565,7656,17432,3022,1,1
004afe,UAL2044,KORD,LFPO,1688788583,1688804341,1688770800,2023-07-08 05:56:23,15758,48049,323,20295,3321,4,5
004c0f,RYR7867,EPWA,RJTT,1678504709,1678551806,1678489200,2023-03-11 04:18:29,47097,27314,576,18066,581,1,5
004c17,AFR1956,EGKK,LEMD,1672631138,1672657748,1672614000,2023-01-02 04:45:38,26610,29093,2001,43841,2981,4,1
004d09,QTR6983,KATL,LHBP,1701537266,1701586710,1701471600,2023-12-02 18:14:26,49444,19727,4545,45637,9626,4,4
