icao24,callsign,dep_airport,arr_airport,firstseen,lastseen,day,event_ts,flight_duration_sec,dep_horiz_m,dep_vert_m,arr_horiz_m,arr_vert_m,dep_cand,arr_cand
0001f4,ACA8578,KLAX,EKCH,1673979633,1674012741,1673910000,2023-01-17 19:20:33,33108,9548,1970,14564,7801,4,5
00046c,AAL371,KJFK,EGLL,1681755438,1681807361,1681686000,2023-04-17 20:17:18,51923,33084,3171,45617,7481,2,1
0004b6,BAW1144,WSSS,ESSA,1703071515,1703104677,1703026800,2023-12-20 12:25:15,33162,48787,8359,4685,4069,1,2
0004c7,BAW3310,EDDF,KJFK,1695290496,1695297599,1695250800,2023-09-21 12:01:36,7103,39564,2429,39948,9304,4,3
00057b,UAL7840,RJTT,WSSS,1677206877,1677240704,1677193200,2023-02-24 03:47:57,33827,33687,1685,31643,6105,3,4
00068b,UAL3140,KJFK,KORD,1693751109,1693760709,1693695600,2023-09-03 16:25:09,9600,36584,285,25269,9715,5,1
000911,QFA2264,KATL,LSZH,1701663453,1701713594,1701644400,2023-12-04 05:17:33,50141,41809,1476,33559,9814,4,4
000a55,EZY8027,EGLL,LOWW,1696510323,1696512220,1696460400,2023-10-05 14:52:03,1897,42746,8855,39503,568,5,5
000b41,EZY9838,EPWA,OMDB,1684558623,1684587283,1684537200,2023-05-20 06:57:03,28660,38869,3849,15578,2228,5,1
000e5c,ACA5278,LFPG,EGLL,1703384082,1703387257,1703372400,2023-12-24 03:14:42,3175,5912,7097,5933,9998,4,2
001171,DAL1721,YSSY,VHHH,1697077857,1697123587,1697065200,2023-10-12 04:30:57,45730,8872,3461,14062,8362,5,1
001233,AFR2438,OMDB,YSSY,1701672075,1701685985,1701644400,2023-12-04 07:41:15,13910,17761,4493,45685,7662,4,4
00147c,QTR170,LIRF,LEMD,1701672363,1701703443,1701644400,2023-12-04 07:46:03,31080,8248,8608,22484,1375,4,2
00151d,UAL9858,KJFK,OMDB,1678709403,1678754587,1678662000,2023-03-13 13:10:03,45184,12920,2736,5836,7581,5,2
0016f8,ACA370,WSSS,LPPT,1696205556,1696211692,1696201200,2023-10-02 02:12:36,6136,31780,5195,26482,5792,1,2
001899,UAE9439,KJFK,ENGM,1680799941,1680839536,1680735600,2023-04-06 18:52:21,39595,20977,6088,24071,8995,2,1
001af1,UAL4497,LOWW,KJFK,1700832600,1700855801,1700780400,2023-11-24 14:30:00,23201,5116,9175,47364,3637,2,3
001bfb,QFA8664,KDEN,EHAM,1702366944,1702406687,1702335600,2023-12-12 08:42:24,39743,45223,8865,8219,2681,1,4
001d5c,AAL1791,LKPR,EPWA,1701777690,1701788252,1701730800,2023-12-05 13:01:30,10562,37227,4882,30276,1267,3,5
001d7e,DAL162,YSSY,KLAX,1692722133,1692765168,1692658800,2023-08-22 18:35:33,43035,48514,8750,19707,3146,2,3
001dfa,DAL4547,LEMD,RJTT,1692895881,1692942314,1692831600,2023-08-24 18:51:21,46433,34700,9156,4430,6522,5,3
001f5b,EZY8989,EKCH,OMDB,1692946890,1692986573,1692918000,2023-08-25 09:01:30,39683,11813,4384,10488,6016,3,4
00228c,AAL7114,OTHH,RJTT,1698082938,1698134231,1698015600,2023-10-23 19:42:18,51293,44854,5800,22612,2407,2,4
00231e,AAL9312,LIRF,LFPG,1687001070,1687016176,1686956400,2023-06-17 13:24:30,15106,19447,165,24523,513,4,4
002509,SIA858,RJTT,KATL,1700908662,1700958184,1700866800,2023-11-25 11:37:42,49522,24626,5836,48357,4514,2,4
002563,BAW1931,EDDM,LKPR,1675297800,1675319069,1675292400,2023-02-02 01:30:00,21269,37994,5683,28845,1337,4,3
0025f1,DAL8218,KATL,LSZH,1684941537,1684943788,1684882800,2023-05-24 17:18:57,2251,20048,1634,18924,1452,5,3
002840,UAE7074,RJTT,LEMD,1683997878,1684036258,1683932400,2023-05-13 19:11:18,38380,1998,9381,32541,9381,2,4
002859,UAE8777,EPWA,ENGM,1688460354,1688472138,1688425200,2023-07-04 10:45:54,11784,24370,7158,14098,81,5,3
002874,BAW7058,EHAM,KDFW,1703940921,1703962076,1703890800,2023-12-30 13:55:21,21155,39662,7527,18576,3245,4,5
0028d2,UAL178,KORD,EGKK,1699242279,1699277543,1699225200,2023-11-06 04:44:39,35264,40880,2242,4221,6847,3,5
002a3d,QFA589,EKCH,LSZH,1701736104,1701747492,1701730800,2023-12-05 01:28:24,11388,34172,6208,8904,8042,2,3
002cd7,UAL1410,EPWA,RJTT,1687457415,1687485669,1687388400,2023-06-22 20:10:15,28254,9921,3877,7341,4092,1,3
002f55,UAL4129,KDFW,LHBP,1693464789,1693478630,1693436400,2023-08-31 08:53:09,13841,14826,2024,3508,6482,1,5
002fa0,BAW5012,LKPR,ENGM,1672993170,1673022528,1672959600,2023-01-06 09:19:30,29358,22512,9135,49931,9665,4,5
00328d,BAW7905,EFHK,OMDB,1701570102,1701613247,1701558000,2023-12-03 03:21:42,43145,26726,3946,27655,8161,2,3
003459,DAL3073,RJTT,EHAM,1676287344,1676337349,1676242800,2023-02-13 12:22:24,50005,397,1928,44061,8226,3,2
003484,UAL3495,LEBL,LFPO,1685778333,1685808685,1685746800,2023-06-03 09:45:33,30352,44765,6243,12039,4866,4,1
003610,RYR5147,EKCH,ENGM,1673602062,1673607502,1673564400,2023-01-13 10:27:42,5440,34026,8297,41162,1562,2,4
00382c,UAL2625,OTHH,KORD,1690093605,1690099486,1690066800,2023-07-23 08:26:45,5881,48975,8286,40727,1242,2,2
0038f5,SIA4998,EDDF,EFHK,1673574996,1673590065,1673564400,2023-01-13 02:56:36,15069,19001,6696,16554,8988,5,1
003b45,RYR4200,LEMD,ENGM,1700477637,1700525572,1700434800,2023-11-20 11:53:57,47935,29381,5832,22728,877,2,5
003bbe,UAE6998,EDDF,EPWA,1677672126,1677706219,1677625200,2023-03-01 13:02:06,34093,3296,4338,27540,7307,1,2
003d06,UAL2213,LSZH,LKPR,1701539784,1701560124,1701471600,2023-12-02 18:56:24,20340,26467,6743,24405,2929,5,2
003e59,AAL2769,LSZH,KDFW,1680735849,1680743595,1680735600,2023-04-06 01:04:09,7746,43282,7736,17248,5298,3,5
003ecb,AFR5120,LPPT,KATL,1684386156,1684422296,1684364400,2023-05-18 07:02:36,36140,19289,1049,33857,4610,3,5
003f2e,QTR4641,LEBL,EDDM,1700365821,1700391072,1700348400,2023-11-19 04:50:21,25251,2125,1795,18170,6794,4,5
00403a,QFA5685,KORD,ESSA,1696440339,1696492928,1696374000,2023-10-04 19:25:39,52589,36678,8582,46217,3301,1,4
00414b,EZY6273,EPWA,LHBP,1693990350,1694015136,1693954800,2023-09-06 10:52:30,24786,45588,2028,37181,7952,2,3
00429c,RYR5467,LFPG,ESSA,1685860536,1685898883,1685833200,2023-06-04 08:35:36,38347,39963,7932,24433,7704,2,5
0044b2,AAL6445,KATL,EKCH,1684345062,1684369892,1684278000,2023-05-17 19:37:42,24830,26191,2484,47369,9128,2,1
004682,SWA9515,EHAM,KDEN,1678470498,1678472527,1678402800,2023-03-10 18:48:18,2029,39899,966,25158,1136,5,1
004761,UAE6584,LKPR,VHHH,1695579699,1695592910,1695510000,2023-09-24 20:21:39,13211,30981,191,31147,6566,4,3
004805,DLH9516,ESSA,EHAM,1686992217,1687001550,1686956400,2023-06-17 10:56:57,9333,19259,3791,15256,3032,4,4
004897,RYR5951,LEMD,LPPT,1678509603,1678556006,1678489200,2023-03-11 05:40:03,46403,41642,6553,46299,9958,4,5
0049c6,AAL1933,EGKK,ENGM,1702297851,1702348211,1702249200,2023-12-11 13:30:51,50360,28130,784,46984,1129,2,3
0049ea,BAW7712,LKPR,LPPT,1688538318,1688551208,1688511600,2023-07-05 08:25:18,12890,4404,8650,15948,9673,5,5
004ad5,RYR4377,EFHK,LIRF,1684461897,1684464722,1684450800,2023-05-19 04:04:57,2825,7468,7228,6640,6341,5,3
004f07,UAE1537,EFHK,VHHH,1678811610,1678862310,1678748400,2023-03-14 17:33:30,50700,44385,1197,35001,3542,4,5
005445,ACA8457,EGKK,EHAM,1700963271,1700980773,1700953200,2023-11-26 02:47:51,17502,238,9909,9425,5663,5,4
005474,SIA3622,EGLL,LIRF,1695384591,1695390829,1695337200,2023-09-22 14:09:51,6238,41568,8525,2813,6499,5,2
00549a,DLH1773,EDDF,LSZH,1678672731,1678696753,1678662000,2023-03-13 02:58:51,24022,6550,6576,43848,3975,1,5
005a2b,AAL7151,LHBP,LOWW,1689143973,1689173689,1689116400,2023-07-12 08:39:33,29716,31028,5666,25873,7962,5,5
005be0,EZY1999,OTHH,EDDF,1680144573,1680148722,1680130800,2023-03-30 04:49:33,4149,49226,5995,15669,1494,3,1
